cluster,rank,label,count,share,cluster_size
89,1,Software Licenses/Upgrades,344,0.28690575479566305,1199
89,2,Operating Systems,273,0.22768974145120935,1199
89,3,Office Suites,70,0.058381984987489574,1199
122,1,Notebooks,1199,1.0,1199
101,1,Printing Equipment,344,0.2937660119555935,1171
101,2,Data Projectors,198,0.1690862510674637,1171
101,3,Warranty & Support Extensions,195,0.16652433817250215,1171
190,1,Notebooks,1120,0.9781659388646288,1145
190,2,All-in-One PCs/Workstations,18,0.01572052401746725,1145
190,3,Tablets,7,0.00611353711790393,1145
116,1,Power Supply Units,1022,0.9004405286343612,1135
116,2,Chassis Components,96,0.08458149779735682,1135
116,3,Power Adapters & Inverters,6,0.0052863436123348016,1135
170,1,Notebook Parts & Accessories,1069,0.9621962196219622,1111
170,2,Chassis Components,41,0.0369036903690369,1111
170,3,Flat Panel Desk Mounts,1,0.0009000900090009,1111
120,1,Projector Lamps,1093,0.9954462659380692,1098
120,2,Data Projectors,2,0.0018214936247723133,1098
120,3,Projector Mounts,1,0.0009107468123861566,1098
95,1,Printing Equipment,656,0.6007326007326007,1092
95,2,Printing Supplies,204,0.18681318681318682,1092
95,3,Print Servers,114,0.1043956043956044,1092
105,1,Mobile Device Chargers,740,0.6915887850467289,1070
105,2,Smartwatch Accessories,115,0.10747663551401869,1070
105,3,Mobile Phone Spare Parts,32,0.029906542056074768,1070
157,1,Warranty & Support Extensions,1066,0.99812734082397,1068
157,2,Installation Services,2,0.0018726591760299626,1068
117,1,Chassis Components,979,0.9227144203581527,1061
117,2,Camera Accessories,30,0.02827521206409048,1061
117,3,Software Licenses/Upgrades,12,0.011310084825636193,1061
134,1,Cameras & Camcorders,520,0.49056603773584906,1060
134,2,Notebook Parts & Accessories,477,0.45,1060
134,3,Mobile Phone Spare Parts,38,0.035849056603773584,1060
191,1,Notebooks,1051,1.0,1051
115,1,Print & Scan Accessories,595,0.5704697986577181,1043
115,2,Printing Supplies,403,0.38638542665388304,1043
115,3,Warranty & Support Extensions,38,0.0364333652924257,1043
203,1,Power Distribution Units (PDUs),1011,0.9702495201535508,1042
203,2,Chassis Components,15,0.014395393474088292,1042
203,3,Power Supply Units,9,0.008637236084452975,1042
162,1,Software Licenses/Upgrades,438,0.42115384615384616,1040
162,2,Multimedia Software,355,0.34134615384615385,1040
162,3,Computer Utilities,209,0.20096153846153847,1040
180,1,Printing Supplies,1027,1.0,1027
181,1,PCs/Workstations,861,0.8408203125,1024
181,2,Notebooks,144,0.140625,1024
181,3,Notebook Parts & Accessories,5,0.0048828125,1024
298,1,Notebooks,950,0.930460333006856,1021
298,2,Handheld Mobile Computers,36,0.03525954946131244,1021
298,3,All-in-One PCs/Workstations,35,0.034280117531831536,1021
121,1,Printing Supplies,797,0.7813725490196078,1020
121,2,Print & Scan Accessories,141,0.13823529411764707,1020
121,3,Computer Utilities,31,0.030392156862745098,1020
123,1,Mobile Phone Cases,568,0.5579567779960707,1018
123,2,Tablet Cases,197,0.19351669941060903,1018
123,3,Notebook Parts & Accessories,176,0.17288801571709234,1018
163,1,Data Storage Devices,942,0.9671457905544147,974
163,2,System Components,14,0.014373716632443531,974
163,3,Cameras & Camcorders,6,0.006160164271047228,974
314,1,Notebooks,967,1.0,967
225,1,Notebook Parts & Accessories,524,0.5441329179646937,963
225,2,Flat Panel Spare Parts,436,0.45275181723779856,963
225,3,Power Supply Units,3,0.003115264797507788,963
161,1,KVM Switches,347,0.3641133263378804,953
161,2,KVM Cables,188,0.19727177334732424,953
161,3,Maintenance & Support Fees,117,0.12277019937040923,953
142,1,Notebooks,947,1.0,947
152,1,Mobile Phone Cases,706,0.7463002114164905,946
152,2,Tablet Cases,86,0.09090909090909091,946
152,3,Screen Protectors,86,0.09090909090909091,946
169,1,Display Privacy Filters,784,0.8349307774227902,939
169,2,Screen Protectors,142,0.15122470713525027,939
169,3,Patch Panels,5,0.005324813631522897,939
151,1,TVs,805,0.8600427350427351,936
151,2,Hospitality TVs,57,0.060897435897435896,936
151,3,Computer Monitors,54,0.057692307692307696,936
242,1,All-in-One PCs/Workstations,609,0.651336898395722,935
242,2,PCs/Workstations,312,0.3336898395721925,935
242,3,Notebooks,5,0.0053475935828877,935
133,1,Print & Scan Accessories,913,0.9785637727759914,933
133,2,Printing Supplies,7,0.007502679528403001,933
133,3,Printing Equipment,3,0.003215434083601286,933
145,1,TVs,900,0.9646302250803859,933
145,2,Hospitality TVs,17,0.01822079314040729,933
145,3,CRT TVs,8,0.00857449088960343,933
153,1,Notebook Parts & Accessories,690,0.7435344827586207,928
153,2,Mobile Device Dock Stations,114,0.12284482758620689,928
153,3,Cable Interface/Gender Adapters,22,0.023706896551724137,928
167,1,Network Transceiver Modules,813,0.8760775862068966,928
